c_custkey,c_name,c_address,c_nationkey,c_phone,c_acctbal,c_mktsegment
1,Customer#000000001,Addr2824,0,45-350-328-3286,7101.18,MACHINERY
2,Customer#000000002,Addr2424,18,64-132-130-2535,1405.02,MACHINERY
3,Customer#000000003,Addr1434,17,35-833-765-9928,3614.72,HOUSEHOLD
4,Customer#000000004,Addr5557,0,30-814-532-6574,2056.59,BUILDING
5,Customer#000000005,Addr6514,3,21-489-199-6881,8322.43,MACHINERY
6,Customer#000000006,Addr5333,1,68-649-227-7201,-133.19,FURNITURE
7,Customer#000000007,Addr6925,18,34-821-171-1750,6273.89,FURNITURE
8,Customer#000000008,Addr2307,7,22-489-384-8428,5992.53,FURNITURE
9,Customer#000000009,Addr3664,11,55-314-786-5374,6720.02,AUTOMOBILE
10,Customer#000000010,Addr3803,17,41-267-573-7216,1969.43,MACHINERY
11,Customer#000000011,Addr4598,21,51-963-886-1916,1519.53,AUTOMOBILE
12,Customer#000000012,Addr6168,12,44-167-316-6155,1338.9,HOUSEHOLD
13,Customer#000000013,Addr7482,20,68-246-371-3287,1712.91,MACHINERY
14,Customer#000000014,Addr9830,8,84-538-697-7543,2981.96,BUILDING
15,Customer#000000015,Addr9348,15,21-873-148-2796,681.26,BUILDING
16,Customer#000000016,Addr7916,19,18-494-490-8668,4820.26,MACHINERY
17,Customer#000000017,Addr1188,21,24-798-649-5371,7454.58,FURNITURE
18,Customer#000000018,Addr2827,9,65-261-564-1053,9491.97,FURNITURE
19,Customer#000000019,Addr9201,24,32-619-208-5889,8258.36,MACHINERY
20,Customer#000000020,Addr4258,4,57-880-265-9837,9488.49,MACHINERY
21,Customer#000000021,Addr1009,19,51-600-119-2832,9220.08,FURNITURE
22,Customer#000000022,Addr4923,1,40-999-680-2290,-57.8,HOUSEHOLD
23,Customer#000000023,Addr2133,24,78-884-228-3103,6257.26,MACHINERY
24,Customer#000000024,Addr3705,8,77-993-721-7932,9607.98,MACHINERY
25,Customer#000000025,Addr4295,22,49-508-787-7118,3819.1,MACHINERY
26,Customer#000000026,Addr8397,3,41-330-165-6539,-768.61,MACHINERY
27,Customer#000000027,Addr4770,18,38-107-172-1964,1518.37,AUTOMOBILE
28,Customer#000000028,Addr6413,2,75-343-385-8953,1356.61,BUILDING
29,Customer#000000029,Addr8744,7,70-926-516-4119,37.59,HOUSEHOLD
30,Customer#000000030,Addr6804,13,62-578-984-1887,6407.01,AUTOMOBILE
31,Customer#000000031,Addr1993,12,53-919-982-2790,1735.22,BUILDING
32,Customer#000000032,Addr9786,14,27-532-287-5563,4088.91,AUTOMOBILE
33,Customer#000000033,Addr8260,17,22-151-767-9856,8196.3,AUTOMOBILE
34,Customer#000000034,Addr4872,5,62-597-592-4502,8511.15,AUTOMOBILE
35,Customer#000000035,Addr3697,12,10-499-371-8454,2137.75,MACHINERY
36,Customer#000000036,Addr8973,4,34-403-322-1958,5370.98,MACHINERY
37,Customer#000000037,Addr1998,23,50-158-151-8811,4531.35,MACHINERY
38,Customer#000000038,Addr3579,1,75-182-971-4044,-246.26,AUTOMOBILE
39,Customer#000000039,Addr4853,12,25-683-352-1651,5813.19,HOUSEHOLD
40,Customer#000000040,Addr9565,10,43-309-785-6147,1625.55,HOUSEHOLD
41,Customer#000000041,Addr3144,21,92-407-568-6180,9219.19,AUTOMOBILE
